Video Name,Channel ID,Views,Likes,Dislikes,Comments,Time of Uploading,Category
BARU! Keju Cheddar Anchor dari New Zealand,UCfDpWxtKc_PBOXr7gPLXLrQ,24928443,32,0,5,2023-05-16T03:21:41Z,People & Blogs
"CHHAKKA PANJA (Full Movie) - Superhit Nepali Full Movie Ft. Deepakraj Giri, Priyanka Karki",UCrzyJYtjLOTfnUur8hsr7ow,22639285,120531,0,7473,2017-01-13T01:37:07Z,Film & Animation
DREAMS (Full Movie) Anmol KC | Samragyee RL Shah | New Nepali Superhit Full Movie,UCrzyJYtjLOTfnUur8hsr7ow,16144028,125884,0,6735,2016-09-09T16:55:30Z,Film & Animation
"Bhairav || à¤­à¥à¤°à¤¬ || Nepali Action Movie || Nikhil Upreti, Anu Shah, Murali Dhar,Jay Kishan Basnet,",UCNR1KcWXj7zpWQFJtU3ddYg,11888301,92724,0,3836,2016-06-15T18:15:01Z,Film & Animation
å¥³å­©ä¸çµæ¢¯é­ç·å­©æ¶æå³åï¼ä»çµæ¢¯æä¸æ¥ãå¥³å­©å¦å¦ï¼äººæ²¡æ¾å°æ¥è­¦,UCUbw50S9E4dRDq8whoUGtsA,8537098,85433,0,2488,2023-06-17T23:00:24Z,People & Blogs
The Grand Old Duke of York in HD | Nursery Rhymes and Songs for Kids by Songs with Simon,UCBfYm4CdlUBDZd83SVIZM6Q,7822151,12428,0,0,2014-04-11T07:43:01Z,Music
Smart Dog Adopts a Baby Cheetah!2/3#shorts #fantasy  #storytime,UCLWsxohUpMUpzMGGhhMUcFg,5561588,261601,0,552,2023-06-02T14:32:00Z,Film & Animation
"HIT NEPALI MOVIE || LOOTERA || à¤²à¥à¤à¥à¤°à¤¾ || Nikhil Upreti ,Nisha Adhikari",UCNR1KcWXj7zpWQFJtU3ddYg,4494839,26275,0,1689,2016-09-08T02:15:00Z,Film & Animation
"SETO BAGH | New Nepali Full Movie 2016 | Nir Shah, Raja Ram Paudel, Shyam Ria",UCrzyJYtjLOTfnUur8hsr7ow,3397724,21390,0,1257,2016-06-10T10:17:49Z,Film & Animation
"SHAKUNTALA | Nepali Full Movie 2017/2074 Ft. Rajesh Hamal, Kishor Khatiwada, Rabindra Basnet",UCrzyJYtjLOTfnUur8hsr7ow,2274988,11701,0,717,2017-05-19T06:17:12Z,Film & Animation
"MAANLE MAANLAI CHHUNCHHA | Nepali Lovestory Full Movie | Suman Singh, Garima Pant",UCrzyJYtjLOTfnUur8hsr7ow,1854745,9566,0,468,2016-01-28T12:31:24Z,Film & Animation
å¨æ°é¦æµé¡ºæ» NestlÃ© ç«å±±çéªç³,UCjypvMUkHymPHE-P-QQ9Ttw,1816796,147,0,8,2022-01-19T04:49:08Z,People & Blogs
Meray Hi Rehna Episode 58 | 31st July 2023 (English Subtitles) | ARY Digital Drama,UC4JCksJF76g_MdzPVBJoC3Q,1659355,23823,0,578,2023-07-31T17:21:08Z,Entertainment
Dogman | FREE Full Horror Movie,UCu0bxC7vG_HKWJ7ijO9QKwg,1504584,5620,0,153,2016-07-02T15:30:00Z,Film & Animation
Top 10 Hardest Punchers In Boxing (circa 2020) | GP,UCSAKHhhVMjKZxApVg5nfuYw,1489336,10560,0,966,2020-03-26T18:31:29Z,Sports
"PAUJU | New Nepali Action Full Movie Pauju Ft. Biraj Bhatta, Priya Rijal",UCrzyJYtjLOTfnUur8hsr7ow,1313223,6710,0,338,2014-10-09T10:49:24Z,Film & Animation
"din bhar ki khabar | news of the day, hindi news india |top news | Rahul Bharat jodo yatra #dblive",UCBbpLKJLhIbDd_wX4ubU_Cw,1138814,16051,0,442,2023-07-31T14:03:27Z,News & Politics
ÙØ¶ÙØª 24 Ø³Ø§Ø¹Ù Ø¹ÙÙ Ø§ÙØ±Ø§ÙØ¹Ù ð­,UCmWV4bvAO4vUQtRZayT1usw,1137532,83974,0,10947,2023-07-31T16:10:20Z,Howto & Style
Karvai ( Official Video ) | Guri Sekhon | Latest Punjabi Songs 2022 | Yaariyan Productions,UClbwtVD-vbF2WVxo3X3OdIw,1065477,21566,0,3772,2022-01-20T04:22:41Z,People & Blogs
FORTNITE UNVAULTED BOWS!,UC-sjC5fKKsrpcZRJwlZJzZQ,1060774,91491,0,1705,2022-02-22T15:31:55Z,Gaming
Fortnite Season 4 BATTLEPASS is EPIC!,UC-sjC5fKKsrpcZRJwlZJzZQ,914672,35623,0,2550,2022-09-18T09:13:50Z,Gaming
Cyberpunk 2077 Just Got a 40GB New Update &amp; DLC,UCLdPUOIBv-O0mTWtUBaQNtg,898474,17402,0,1743,2022-09-09T01:51:08Z,Gaming
Why Dogs Eat Grass and 33 Jaw-Dropping Facts,UC4rlAVgAK0SGk-yTfe48Qpw,889060,18424,0,717,2020-02-12T17:00:12Z,Howto & Style
Fun Farm Animal Toys and Wild Zoo Animal Toys - Cow Horse Goat,UCL7UTQpJbDWxzXNBRUyg6lA,775621,1057,0,0,2020-06-30T14:30:00Z,Entertainment
Deadly Ambush - Marine Disobeys Orders &amp; Is Awarded the Medal of Honor,UCl3SuH2Ue044b7ACX1syk4A,615654,16549,0,1245,2021-11-19T19:57:03Z,Education
Combo hoÃ n háº£o nÃ o THAY THáº¾ CHO VECTOR ÄÃI!? | Cáº¨M NANG LÃN TRÃNH FREE FIRE #2,UCKgALVAg70mbC4SwhkyhvRw,560731,7063,0,233,2021-04-24T11:56:53Z,Gaming
The Spider-Man Actor Who Plays Ned Leeds Got Totally Ripped,UCP1iRaFlS5EYjJBryFV9JPw,558900,11801,0,857,2020-10-11T23:00:04Z,Entertainment
Orca Wardrobe Malfunction,UC-MQX5lkRIkpnyqLnS92obg,490751,606,0,9,2023-03-13T13:13:09Z,Pets & Animals
"[#ëí¼ìì°ë¤] ì¤ë ì±ë¹ì´ ë¨¹ì ê²ì ììë³´ì. íë²ê±° 2ê°, ì¤ì½ 1ê°, ëë 12ê°, í¼ì 1í... ê·¸ë§ ììë³´ì. | #ì¤ì±ë¹ #ë¨¹ë°© MBC230728ë°©ì¡",UCiwQRG2sCcfjKkgxMEdJGPg,486912,3165,0,274,2023-07-31T07:29:12Z,Comedy
çå±ææ¡ï½ä¸­å½é²ç«å·²è¿å¥éçæ§åæé¶æ®µï¼éæ¶å¯è½å´©æº20221107,UCBKDRq35-L8xev4O7ZqBeLg,462207,8512,0,2275,2022-11-07T12:00:11Z,People & Blogs
BAIM SAMPE MINDER LIAT ISI BRANGKAS NIKITA MIRZANI,UC5xAPCVizxOfnMECMXkal2Q,473037,16911,0,822,2023-07-31T12:31:14Z,Entertainment
Vtubing last week in 60 seconds #shorts,UCnELQoXoROOqAVnCK4fW9RA,435062,43561,0,308,2023-06-04T19:32:17Z,Comedy
"EXPOSING SCAMMER AFTER $82,670 STOLEN FROM DREAM CAR PROJECT",UCj_ARBxhCoF5JxUItcEUs7Q,436144,29006,0,2229,2023-07-31T13:00:44Z,Autos & Vehicles
The Mystery Of The Dysfunctional Lift | CID (Bengali) - Ep 1429 | Full Episode | 30 July 2023,UCBz9qbqujcjIavFmBJW2oZw,434106,7983,0,308,2023-07-30T16:45:03Z,Entertainment
à®à®à¯à®à®³à¯à®à¯à®à¯ à®à®®à®¾à®±à¯à®±à®®à¯ à®¨à®¿à®à¯à®à®¿à®¯à®®à¯ à®¤à®¾à®©à¯ à®µà®¿à®à®¯à®¾.. ð | Siragadikka Aasai | Episode Preview,UCvrhwpnp2DHYQ1CbXby9ypQ,431098,3583,0,54,2023-07-31T14:48:26Z,Entertainment
THIS WAS THE MOST CHAOTIC AAU GAME I&#39;VE EVER COACHED!,UCkNB_lQah9MLniBLlk97iBw,433525,61432,0,2376,2023-07-31T21:24:32Z,Gaming
WATCH LIVE: Lori Vallow Daybell âDoomsday Cultâ Mom Triple Murder â Sentencing,UCz8K1occVvDTYDfFo7N5EZw,421584,5379,0,424,2023-07-31T19:45:28Z,Entertainment
EXCLUSIVO! Mauro Cezar: &quot;a JUSTIFICATIVA que o Pedro DEU ao Flamengo pela AUSÃNCIA no treino foi...&quot;,UCv-Nx8pSfG_LxbViMz14RWQ,400840,20684,0,2462,2023-07-31T16:29:08Z,Sports
Christian Bautista and wife Kat Ramnani reveal a secret in their home | PEP Celeb Homes,UCa8MtLLIPmmC4iUTDwQJSCQ,396605,3246,0,208,2020-01-11T14:11:49Z,News & Politics
Guardian Shield vs. Ex-Caliber Rifle,UCXrExb1m3VjR0m1_l9luxRQ,396102,17302,0,59,2023-01-03T22:33:28Z,Gaming
IRON MAN 4 Is About To Shock You,UC1BJTOC2ar_cIsaI4ggSq1Q,375684,5910,0,317,2022-01-24T18:39:00Z,Film & Animation
Top 10 MythBusters (PUBG MOBILE &amp; BGMI) Tips and Tricks 1.9 Update PUBG Myths #15 Secret Room &amp; Bike,UCnrIE3mxTT9MshO8JTzuxeg,374287,24845,0,627,2022-03-30T06:31:09Z,Gaming
à¦à¦¾à¦à§à¦à§à§à¦¾à¦° à¦¹à¦¾à¦à¦°à§ à¦¬à§à§à¦¾à¦¤à§ à¦à¦¿à§à§ à¦à§à¦°à§à¦ªà§à¦¤à¦¾à¦° à§©à§ª à¦¶à¦¿à¦à§à¦·à¦¾à¦°à§à¦¥à§ | Tanguar Haor | BUET | Channel 24,UCHLqIOMPk20w-6cFgkA90jw,368540,5556,0,883,2023-07-31T14:00:35Z,News & Politics
Rooz FORDERT Monte HERAUS.. ð¤¦ð»ââï¸ð¬ KuchenTV Reaktion | MontanaBlack Reaktion,UCo6utge9KpJI61gXe7ngUJQ,376394,15845,0,655,2023-07-31T15:00:23Z,Entertainment
"Coming Soon | Ft. Kubra Khan, Ramsha Khan, Gohar Rasheed, Talha Chahour",UCe9JSDmyqNgA_l2BzGHq1Ug,362283,5566,0,172,2023-07-31T15:15:00Z,Entertainment
"Amsterdam(Europe) Mein Ek Galti Ki Wajah Se â¹70,000 Ka Challan..ð­ |Delhi To London By Road| #EP-76",UCYUq_wB2ieVws9K4kmjWcaQ,387849,34265,0,1245,2023-08-01T03:30:26Z,Travel & Events
Goodbye...,UCTgQTM6B97Tk5FPNOWZMB1Q,334535,14842,0,1373,2022-12-03T11:45:20Z,Gaming
Harleen Has Returned | Udaariyaan,UCLNItyVW0epTrMVA3DxQglg,345621,3656,0,19,2023-07-31T12:15:00Z,Entertainment
Deshhit: à¤à¥à¤¤ à¤à¤¯à¤¾ à¤­à¤¾à¤°à¤¤ ! à¤à¤ª à¤¸à¥ à¤°à¤¹à¥ à¤¹à¥à¤à¤à¥ à¤à¤° à¤à¤à¤¦à¥à¤°à¤¯à¤¾à¤¨-3 à¤à¤®à¤¾à¤² à¤à¤° à¤à¥à¤à¤¾ à¤¹à¥à¤à¤¾ | Chandrayaan-3 Reached Moon,UCIvaYmXn910QMdemBG3v1pQ,420876,4054,0,125,2023-07-31T16:27:02Z,News & Politics
Awesome Change to Brimstone and Omen,UCrfyyS0SKv_HAeP7v9qkFYA,405562,14506,0,88,2023-04-25T18:37:25Z,Gaming
Uncle Roger make ADOBO  (Part 1),UCSd6xd7dKy9mb0JhHGpyOIQ,414872,41834,0,455,2023-07-31T18:30:59Z,People & Blogs
"Anju Pakistan News: à¤à¤à¤à¥ à¤à¥ à¤¸à¤¾à¤¥ à¤¹à¥à¤¨à¥ à¤µà¤¾à¤²à¤¾ à¤¹à¥ à¤à¥à¤², à¤à¤¬ à¤à¤¾à¤à¤à¥ à¤à¥à¤²! | Nasrullah |  Love Story | R Bharat",UC7wXt18f2iA3EDXeqAVuKng,394784,0,0,0,2023-08-01T01:35:25Z,News & Politics
ÐÐÐÐÐ ÐÐÐ Ð§ÐÐ ÐÐ Ð¡ÐÐÐ£Ð® ÐÐ«Ð¡ÐÐÐ£Ð® Ð¡Ð¢ÐÐÐÐ£ Ð ÐÐÐÐ£Ð§Ð 50.000 Ð Ð£ÐÐÐÐ,UCOIRN19VunfPaW7ZfmOKeoQ,370707,36807,0,496,2023-07-31T15:23:11Z,Sports
